plate,prefix,number,suffix,province,region,vehicle_type
B5796WZA,B,5796,WZA,Jadetabek,Tangsel,Motorcycle
T7435QWV,T,7435,QWV,Karawang/Purwakarta,Karawang/Purwakarta,Bus
B955TVQ,B,955,TVQ,Jadetabek,Jakarta Timur,Private Car
DB515HJH,DB,515,HJH,Sulut,Sulut,Private Car
B556FI,B,556,FI,Jadetabek,Bekasi Kab,Private Car
B428TPR,B,428,TPR,Jadetabek,Jakarta Timur,Private Car
B1114UC,B,1114,UC,Jadetabek,Jakarta Utara,Private Car
B4281KU,B,4281,KU,Jadetabek,Bekasi Kota,Motorcycle
AD1628BZ,AD,1628,BZ,Surakarta,Surakarta,Private Car
DK6092HJ,DK,6092,HJ,Bali,Bali,Motorcycle
B7357TS,B,7357,TS,Jadetabek,Jakarta Timur,Bus
DD1026FD,DD,1026,FD,Sulsel,Sulsel,Private Car
B7360TZA,B,7360,TZA,Jadetabek,Jakarta Timur,Bus
B8180SK,B,8180,SK,Jadetabek,Jakarta Selatan,Truck/Commercial
B5759WZZ,B,5759,WZZ,Jadetabek,Tangsel,Motorcycle
B8536UVO,B,8536,UVO,Jadetabek,Jakarta Utara,Truck/Commercial
AD3166YH,AD,3166,YH,Surakarta,Surakarta,Motorcycle
B9512CY,B,9512,CY,Jadetabek,Tangerang Kota,Truck/Commercial
T7155UOQ,T,7155,UOQ,Karawang/Purwakarta,Karawang/Purwakarta,Bus
B7589TOD,B,7589,TOD,Jadetabek,Jakarta Timur,Bus
R354RC,R,354,RC,Banyumas,Banyumas,Private Car
S7174UPX,S,7174,UPX,Bojonegoro,Bojonegoro,Bus
G197CE,G,197,CE,Pekalongan,Pekalongan,Private Car
L5092HC,L,5092,HC,Surabaya,Surabaya,Motorcycle
Z3447IN,Z,3447,IN,Tasikmalaya,Tasikmalaya,Motorcycle
D9062NR,D,9062,NR,Bandung Raya,Bandung Raya,Truck/Commercial
W9527QA,W,9527,QA,Sidoarjo,Sidoarjo,Truck/Commercial
F7176UHY,F,7176,UHY,Bogor/Sukabumi,Bogor/Sukabumi,Bus
AD5140YUB,AD,5140,YUB,Surakarta,Surakarta,Motorcycle
B481ZD,B,481,ZD,Jadetabek,Depok,Private Car
AA5008ERR,AA,5008,ERR,Kedu,Kedu,Motorcycle
B7443KO,B,7443,KO,Jadetabek,Bekasi Kota,Bus
D650WM,D,650,WM,Bandung Raya,Bandung Raya,Private Car
B3957EN,B,3957,EN,Jadetabek,Depok,Motorcycle
B7926UVH,B,7926,UVH,Jadetabek,Jakarta Utara,Bus
B3390BX,B,3390,BX,Jadetabek,Jakarta Barat,Motorcycle
B5702EV,B,5702,EV,Jadetabek,Depok,Motorcycle
W8508EKE,W,8508,EKE,Sidoarjo,Sidoarjo,Truck/Commercial
G1284XSG,G,1284,XSG,Pekalongan,Pekalongan,Private Car
D8904WUM,D,8904,WUM,Bandung Raya,Bandung Raya,Truck/Commercial
B7211CER,B,7211,CER,Jadetabek,Tangerang Kota,Bus
B9892BQD,B,9892,BQD,Jadetabek,Jakarta Barat,Truck/Commercial
AB7014YUI,AB,7014,YUI,Yogyakarta,Yogyakarta,Bus
B345UW,B,345,UW,Jadetabek,Jakarta Utara,Private Car
N9505NS,N,9505,NS,Malang,Malang,Truck/Commercial
B646BBE,B,646,BBE,Jadetabek,Jakarta Barat,Private Car
DB3823KK,DB,3823,KK,Sulut,Sulut,Motorcycle
B7368TMM,B,7368,TMM,Jadetabek,Jakarta Timur,Bus
B464PLO,B,464,PLO,Jadetabek,Jakarta Pusat,Private Car
P7407YRY,P,7407,YRY,Besuki,Besuki,Bus
AE771PC,AE,771,PC,Madiun,Madiun,Private Car
S8071HY,S,8071,HY,Bojonegoro,Bojonegoro,Truck/Commercial
F287BEP,F,287,BEP,Bogor/Sukabumi,Bogor/Sukabumi,Private Car
AB1415IA,AB,1415,IA,Yogyakarta,Yogyakarta,Private Car
AB2712NW,AB,2712,NW,Yogyakarta,Yogyakarta,Motorcycle
H7211LKR,H,7211,LKR,Semarang,Semarang,Bus
W3364ATJ,W,3364,ATJ,Sidoarjo,Sidoarjo,Motorcycle
DB7342PIE,DB,7342,PIE,Sulut,Sulut,Bus
A7853AXS,A,7853,AXS,Banten,Banten,Bus
B4436SVD,B,4436,SVD,Jadetabek,Jakarta Selatan,Motorcycle
B9845WIX,B,9845,WIX,Jadetabek,Tangsel,Truck/Commercial
B8187UBM,B,8187,UBM,Jadetabek,Jakarta Utara,Truck/Commercial
Z9417FY,Z,9417,FY,Tasikmalaya,Tasikmalaya,Truck/Commercial
S1829SLM,S,1829,SLM,Bojonegoro,Bojonegoro,Private Car
B7543FRA,B,7543,FRA,Jadetabek,Bekasi Kab,Bus
S7836FDU,S,7836,FDU,Bojonegoro,Bojonegoro,Bus
B2172SV,B,2172,SV,Jadetabek,Jakarta Selatan,Motorcycle
B138BOT,B,138,BOT,Jadetabek,Jakarta Barat,Private Car
F7538SX,F,7538,SX,Bogor/Sukabumi,Bogor/Sukabumi,Bus
B1291SJW,B,1291,SJW,Jadetabek,Jakarta Selatan,Private Car
N1805YE,N,1805,YE,Malang,Malang,Private Car
AG3907IG,AG,3907,IG,Kediri,Kediri,Motorcycle
B1124CTY,B,1124,CTY,Jadetabek,Tangerang Kota,Private Car
DK46XER,DK,46,XER,Bali,Bali,Private Car
B8655PGM,B,8655,PGM,Jadetabek,Jakarta Pusat,Truck/Commercial
AB7838ZE,AB,7838,ZE,Yogyakarta,Yogyakarta,Bus
DD7244NZ,DD,7244,NZ,Sulsel,Sulsel,Bus
B9501EDP,B,9501,EDP,Jadetabek,Depok,Truck/Commercial
P8890ZSQ,P,8890,ZSQ,Besuki,Besuki,Truck/Commercial
B1076PC,B,1076,PC,Jadetabek,Jakarta Pusat,Private Car
AB8778KX,AB,8778,KX,Yogyakarta,Yogyakarta,Truck/Commercial
B7290CG,B,7290,CG,Jadetabek,Tangerang Kota,Bus
L1221GD,L,1221,GD,Surabaya,Surabaya,Private Car
D7887XSH,D,7887,XSH,Bandung Raya,Bandung Raya,Bus
B8201FH,B,8201,FH,Jadetabek,Bekasi Kab,Truck/Commercial
B3441CGC,B,3441,CGC,Jadetabek,Tangerang Kota,Motorcycle
K5097RP,K,5097,RP,Pati,Pati,Motorcycle
F542NLH,F,542,NLH,Bogor/Sukabumi,Bogor/Sukabumi,Private Car
B7642WHN,B,7642,WHN,Jadetabek,Tangsel,Bus
B1375WRI,B,1375,WRI,Jadetabek,Tangsel,Private Car
B8064TLK,B,8064,TLK,Jadetabek,Jakarta Timur,Truck/Commercial
B7552SR,B,7552,SR,Jadetabek,Jakarta Selatan,Bus
R3727BHY,R,3727,BHY,Banyumas,Banyumas,Motorcycle
AD3666RN,AD,3666,RN,Surakarta,Surakarta,Motorcycle
B9604TBR,B,9604,TBR,Jadetabek,Jakarta Timur,Truck/Commercial
AG2534BU,AG,2534,BU,Kediri,Kediri,Motorcycle
B7422UPN,B,7422,UPN,Jadetabek,Jakarta Utara,Bus
L5570CYV,L,5570,CYV,Surabaya,Surabaya,Motorcycle
D2765IER,D,2765,IER,Bandung Raya,Bandung Raya,Motorcycle
B2311PT,B,2311,PT,Jadetabek,Jakarta Pusat,Motorcycle
D4980UF,D,4980,UF,Bandung Raya,Bandung Raya,Motorcycle
A8752QO,A,8752,QO,Banten,Banten,Truck/Commercial
B9592PDT,B,9592,PDT,Jadetabek,Jakarta Pusat,Truck/Commercial
DA7902IK,DA,7902,IK,Kalsel,Kalsel,Bus
A1190LXQ,A,1190,LXQ,Banten,Banten,Private Car
B6075UI,B,6075,UI,Jadetabek,Jakarta Utara,Motorcycle
B9870PE,B,9870,PE,Jadetabek,Jakarta Pusat,Truck/Commercial
N289JA,N,289,JA,Malang,Malang,Private Car
B8623SYR,B,8623,SYR,Jadetabek,Jakarta Selatan,Truck/Commercial
Z7583HT,Z,7583,HT,Tasikmalaya,Tasikmalaya,Bus
B2833KUP,B,2833,KUP,Jadetabek,Bekasi Kota,Motorcycle
K7312DHT,K,7312,DHT,Pati,Pati,Bus
B7582ETS,B,7582,ETS,Jadetabek,Depok,Bus
E2112GEL,E,2112,GEL,Cirebon/Indramayu,Cirebon/Indramayu,Motorcycle
B7842BFT,B,7842,BFT,Jadetabek,Jakarta Barat,Bus
DB495WW,DB,495,WW,Sulut,Sulut,Private Car
DK9152PMI,DK,9152,PMI,Bali,Bali,Truck/Commercial
B3688BB,B,3688,BB,Jadetabek,Jakarta Barat,Motorcycle
DD1810XOI,DD,1810,XOI,Sulsel,Sulsel,Private Car
G9HMF,G,9,HMF,Pekalongan,Pekalongan,Private Car
B5552CB,B,5552,CB,Jadetabek,Tangerang Kota,Motorcycle
B9474UR,B,9474,UR,Jadetabek,Jakarta Utara,Truck/Commercial
B9970KG,B,9970,KG,Jadetabek,Bekasi Kota,Truck/Commercial
B7185SWN,B,7185,SWN,Jadetabek,Jakarta Selatan,Bus
B1683ULQ,B,1683,ULQ,Jadetabek,Jakarta Utara,Private Car
B7809KJY,B,7809,KJY,Jadetabek,Bekasi Kota,Bus
B8156CX,B,8156,CX,Jadetabek,Tangerang Kota,Truck/Commercial
KB6283SGA,KB,6283,SGA,Kalbar,Kalbar,Motorcycle
W7795IZJ,W,7795,IZJ,Sidoarjo,Sidoarjo,Bus
B5333FP,B,5333,FP,Jadetabek,Bekasi Kab,Motorcycle
AD1917MS,AD,1917,MS,Surakarta,Surakarta,Private Car
T1784WR,T,1784,WR,Karawang/Purwakarta,Karawang/Purwakarta,Private Car
F9278GA,F,9278,GA,Bogor/Sukabumi,Bogor/Sukabumi,Truck/Commercial
F988ND,F,988,ND,Bogor/Sukabumi,Bogor/Sukabumi,Private Car
R4897DK,R,4897,DK,Banyumas,Banyumas,Motorcycle
B1048FJU,B,1048,FJU,Jadetabek,Bekasi Kab,Private Car
W352DIV,W,352,DIV,Sidoarjo,Sidoarjo,Private Car
KB6389GX,KB,6389,GX,Kalbar,Kalbar,Motorcycle
B9033ECD,B,9033,ECD,Jadetabek,Depok,Truck/Commercial
R9955BF,R,9955,BF,Banyumas,Banyumas,Truck/Commercial
G7678JQB,G,7678,JQB,Pekalongan,Pekalongan,Bus
K8463TNR,K,8463,TNR,Pati,Pati,Truck/Commercial
P5366BNW,P,5366,BNW,Besuki,Besuki,Motorcycle
P7356TI,P,7356,TI,Besuki,Besuki,Bus
E9832OQD,E,9832,OQD,Cirebon/Indramayu,Cirebon/Indramayu,Truck/Commercial
H9216NJB,H,9216,NJB,Semarang,Semarang,Truck/Commercial
G8214SQ,G,8214,SQ,Pekalongan,Pekalongan,Truck/Commercial
L3463DU,L,3463,DU,Surabaya,Surabaya,Motorcycle
B9907SYR,B,9907,SYR,Jadetabek,Jakarta Selatan,Truck/Commercial
K8458XW,K,8458,XW,Pati,Pati,Truck/Commercial
B3680BS,B,3680,BS,Jadetabek,Jakarta Barat,Motorcycle
AD7940TV,AD,7940,TV,Surakarta,Surakarta,Bus
D4371GRV,D,4371,GRV,Bandung Raya,Bandung Raya,Motorcycle
W2628TZ,W,2628,TZ,Sidoarjo,Sidoarjo,Motorcycle
B7564CNU,B,7564,CNU,Jadetabek,Tangerang Kota,Bus
W7679JUP,W,7679,JUP,Sidoarjo,Sidoarjo,Bus
Z8035SV,Z,8035,SV,Tasikmalaya,Tasikmalaya,Truck/Commercial
D7572AO,D,7572,AO,Bandung Raya,Bandung Raya,Bus
AD1495FB,AD,1495,FB,Surakarta,Surakarta,Private Car
F9216JZB,F,9216,JZB,Bogor/Sukabumi,Bogor/Sukabumi,Truck/Commercial
F7488QN,F,7488,QN,Bogor/Sukabumi,Bogor/Sukabumi,Bus
T7793WCL,T,7793,WCL,Karawang/Purwakarta,Karawang/Purwakarta,Bus
P8951JVN,P,8951,JVN,Besuki,Besuki,Truck/Commercial
AE7441OZU,AE,7441,OZU,Madiun,Madiun,Bus
A1895BML,A,1895,BML,Banten,Banten,Private Car
R9456JHW,R,9456,JHW,Banyumas,Banyumas,Truck/Commercial
K8082DQ,K,8082,DQ,Pati,Pati,Truck/Commercial
B7030EE,B,7030,EE,Jadetabek,Depok,Bus
Z7290IC,Z,7290,IC,Tasikmalaya,Tasikmalaya,Bus
DK8388LPP,DK,8388,LPP,Bali,Bali,Truck/Commercial
L4572IFB,L,4572,IFB,Surabaya,Surabaya,Motorcycle
B7946BIT,B,7946,BIT,Jadetabek,Jakarta Barat,Bus
AD8898EW,AD,8898,EW,Surakarta,Surakarta,Truck/Commercial
B3829EMG,B,3829,EMG,Jadetabek,Depok,Motorcycle
DK2744MCR,DK,2744,MCR,Bali,Bali,Motorcycle
B1520EC,B,1520,EC,Jadetabek,Depok,Private Car
DK9428INW,DK,9428,INW,Bali,Bali,Truck/Commercial
B2728UTI,B,2728,UTI,Jadetabek,Jakarta Utara,Motorcycle
AE1195IV,AE,1195,IV,Madiun,Madiun,Private Car
AG1809XC,AG,1809,XC,Kediri,Kediri,Private Car
L8826XP,L,8826,XP,Surabaya,Surabaya,Truck/Commercial
